Area,iso3,subregion,year,pou_pct,drought_occurred,total_affected,pou_lag_1,pou_lag_2,pou_lag_3,pou_change_1yr,pou_change_2yr,pou_change_3yr
Angola,AGO,Central Africa,2004,57.5,1,25000,50.6,42.9,36,-6.9,-14.6,-21.5
Angola,AGO,Central Africa,2012,14.8,1,1833900,14,13.5,13.2,-0.8,-1.3,-1.6
Angola,AGO,Central Africa,2017,15.2,1,1420000,15.4,15.9,18.2,0.2,0.7,3
Angola,AGO,Central Africa,2020,18.2,1,1643316,20.8,22.6,23.1,2.6,4.4,4.9
Botswana,BWA,Southern Africa,2015,20.1,1,0,20.3,20.9,22.1,0.2,0.8,2
Botswana,BWA,Southern Africa,2019,22.1,1,38000,22.8,22.8,22.9,0.7,0.7,0.8
Botswana,BWA,Southern Africa,2023,22.5,1,37000,24,,,1.5,,
Burkina Faso,BFA,West Africa,2011,15,1,2850000,14.6,14.1,13.5,-0.4,-0.9,-1.5
Burkina Faso,BFA,West Africa,2014,13.5,1,4000000,13.4,13.6,14,-0.1,0.1,0.5
Burkina Faso,BFA,West Africa,2020,14.3,1,2900000,14.9,14.3,13.9,0.6,0,-0.4
Burkina Faso,BFA,West Africa,2022,14.3,1,3500928,13.9,13.1,,-0.4,-1.2,
Cabo Verde,CPV,West Africa,2002,16.2,1,30000,16.1,14.8,13,-0.1,-1.4,-3.2
Cabo Verde,CPV,West Africa,2017,16.5,1,70000,15.5,14.8,13.4,-1,-1.7,-3.1
Cabo Verde,CPV,West Africa,2022,12.1,1,46093,12.8,13.5,,0.7,1.4,
Cameroon,CMR,Central Africa,2012,4.3,1,12000,4.1,4.2,4.5,-0.2,-0.1,0.2
Cameroon,CMR,Central Africa,2022,5.5,1,2389127,5.1,4.8,,-0.4,-0.7,
Central African Republic,CAF,Central Africa,2022,29.2,1,2221692,29.6,29.8,,0.4,0.6,
Chad,TCD,Central Africa,2009,24.7,1,2400000,24.1,24.1,24,-0.6,-0.6,-0.7
Chad,TCD,Central Africa,2012,24,1,1600000,23.5,23.8,25.2,-0.5,-0.2,1.2
Chad,TCD,Central Africa,2017,26.1,1,1886800,26.7,28.1,29.8,0.6,2,3.7
Chad,TCD,Central Africa,2022,30.1,1,2135362,30.5,32,,0.4,1.9,
Democratic Republic of the Congo,COD,Central Africa,2022,36.6,1,25972806,37.3,38.5,,0.7,1.9,
Djibouti,DJI,East Africa,2005,32.7,1,150000,28.9,24.6,22.1,-3.8,-8.1,-10.6
Djibouti,DJI,East Africa,2007,24.6,1,42750,22.1,20.2,20,-2.5,-4.4,-4.6
Djibouti,DJI,East Africa,2008,22.1,1,340000,20.2,20,19.5,-1.9,-2.1,-2.6
Djibouti,DJI,East Africa,2010,20,1,200258,19.5,18.8,17.4,-0.5,-1.2,-2.6
Djibouti,DJI,East Africa,2022,12.2,1,192168,12.5,12.9,,0.3,0.7,
Eswatini,SWZ,Southern Africa,2007,13.9,1,410000,16.4,19.6,23.3,2.5,5.7,9.4
Eswatini,SWZ,Southern Africa,2016,16.2,1,492000,16.3,15,13.4,0.1,-1.2,-2.8
Eswatini,SWZ,Southern Africa,2019,13.4,1,232000,11.7,11.4,11.6,-1.7,-2,-1.8
Ethiopia,ETH,East Africa,2003,43.2,1,12600000,41.6,39.1,36.4,-1.6,-4.1,-6.8
Ethiopia,ETH,East Africa,2005,39.1,1,2600000,36.4,32.7,29.4,-2.7,-6.4,-9.7
Ethiopia,ETH,East Africa,2008,29.4,1,6400000,26.3,23.9,22.4,-3.1,-5.5,-7
Ethiopia,ETH,East Africa,2009,26.3,1,6200000,23.9,22.4,21.2,-2.4,-3.9,-5.1
Ethiopia,ETH,East Africa,2011,22.4,1,4805679,21.2,19.8,17.7,-1.2,-2.6,-4.7
Ethiopia,ETH,East Africa,2012,21.2,1,1000000,19.8,17.7,15.2,-1.4,-3.5,-6
Ethiopia,ETH,East Africa,2015,15.2,1,10200000,13.6,13,14.1,-1.6,-2.2,-1.1
Ethiopia,ETH,East Africa,2021,20.3,1,6800000,20.6,20.2,19.7,0.3,-0.1,-0.6
Ethiopia,ETH,East Africa,2022,20.6,1,24100000,20.2,19.7,,-0.4,-0.9,
Gambia,GMB,West Africa,2002,16.9,1,0,18.9,19.9,19.1,2,3,2.2
Gambia,GMB,West Africa,2012,9.5,1,428000,10.2,11.1,11.9,0.7,1.6,2.4
Gambia,GMB,West Africa,2015,11.9,1,63100,12.6,12.8,14.2,0.7,0.9,2.3
Guinea-Bissau,GNB,West Africa,2002,15.6,1,100000,16,16.9,18,0.4,1.3,2.4
Guinea-Bissau,GNB,West Africa,2006,18.6,1,32000,19.3,20,20.7,0.7,1.4,2.1
Kenya,KEN,East Africa,2004,34.5,1,2300000,31.6,28,25.8,-2.9,-6.5,-8.7
Kenya,KEN,East Africa,2005,31.6,1,3500000,28,25.8,26.8,-3.6,-5.8,-4.8
Kenya,KEN,East Africa,2008,26.8,1,3800000,26.7,24.3,21.7,-0.1,-2.5,-5.1
Kenya,KEN,East Africa,2011,21.7,1,8050000,19.9,19.1,18.9,-1.8,-2.6,-2.8
Kenya,KEN,East Africa,2014,18.9,1,1600000,19,20.8,22.2,0.1,1.9,3.3
Kenya,KEN,East Africa,2016,20.8,1,3400000,22.2,23.6,22.9,1.4,2.8,2.1
Kenya,KEN,East Africa,2019,22.9,1,2600000,23.7,26.3,31.6,0.8,3.4,8.7
Kenya,KEN,East Africa,2020,23.7,1,4500000,26.3,31.6,35.3,2.6,7.9,11.6
Madagascar,MDG,East Africa,2002,33.4,1,600000,34.8,36.1,34.6,1.4,2.7,1.2
Madagascar,MDG,East Africa,2005,34.6,1,14000,32.9,30.6,30.2,-1.7,-4,-4.4
Madagascar,MDG,East Africa,2008,30.2,1,720000,30,29.4,28.1,-0.2,-0.8,-2.1
Madagascar,MDG,East Africa,2014,30.1,1,20000,32.1,33.3,35,2,3.2,4.9
Madagascar,MDG,East Africa,2016,33.3,1,1140000,35,36,37.5,1.7,2.7,4.2
Madagascar,MDG,East Africa,2017,35,1,1260000,36,37.5,38.9,1,2.5,3.9
Madagascar,MDG,East Africa,2020,38.9,1,1680000,40.6,39.9,39.9,1.7,1,1
Malawi,MWI,East Africa,2002,23.2,1,2829435,23.4,24.1,23.2,0.2,0.9,0
Malawi,MWI,East Africa,2005,23.2,1,5100000,21.5,19.3,17.5,-1.7,-3.9,-5.7
Malawi,MWI,East Africa,2007,19.3,1,520000,17.5,15.9,14.7,-1.8,-3.4,-4.6
Malawi,MWI,East Africa,2012,13.9,1,1900000,14.2,14.9,15.5,0.3,1,1.6
Malawi,MWI,East Africa,2015,15.5,1,6700000,16.3,16.7,17.6,0.8,1.2,2.1
Malawi,MWI,East Africa,2022,20.4,1,2678193,20.7,21.4,,0.3,1,
Mali,MLI,West Africa,2005,12.4,1,1000000,11.2,9.8,8.5,-1.2,-2.6,-3.9
Mali,MLI,West Africa,2006,11.2,1,25000,9.8,8.5,7.4,-1.4,-2.7,-3.8
Mali,MLI,West Africa,2010,6.7,1,600000,6.2,5.8,5.4,-0.5,-0.9,-1.3
Mali,MLI,West Africa,2011,6.2,1,3500000,5.8,5.4,5.2,-0.4,-0.8,-1
Mali,MLI,West Africa,2020,4.8,1,6800000,4.7,7.3,9.9,-0.1,2.5,5.1
Mali,MLI,West Africa,2022,7.3,1,1735753,9.9,12.3,,2.6,5,
Mauritania,MRT,West Africa,2010,7.1,1,838000,7,6.5,6.2,-0.1,-0.6,-0.9
Mauritania,MRT,West Africa,2011,7,1,723000,6.5,6.2,6.1,-0.5,-0.8,-0.9
Mauritania,MRT,West Africa,2017,6.7,1,3893774,6.6,6.5,6.6,-0.1,-0.2,-0.1
Mauritania,MRT,West Africa,2018,6.6,1,350600,6.5,6.6,7,-0.1,0,0.4
Mauritania,MRT,West Africa,2020,6.6,1,1400000,7,7.8,8.6,0.4,1.2,2
Mozambique,MOZ,East Africa,2002,36.4,1,600000,34.9,32.8,30.9,-1.5,-3.6,-5.5
Mozambique,MOZ,East Africa,2003,34.9,1,119500,32.8,30.9,29.2,-2.1,-4,-5.7
Mozambique,MOZ,East Africa,2005,30.9,1,1400000,29.2,27.3,25.4,-1.7,-3.6,-5.5
Mozambique,MOZ,East Africa,2007,27.3,1,520000,25.4,23.6,21.7,-1.9,-3.7,-5.6
Mozambique,MOZ,East Africa,2008,25.4,1,500000,23.6,21.7,20,-1.8,-3.7,-5.4
Mozambique,MOZ,East Africa,2010,21.7,1,460000,20,19.9,21.6,-1.7,-1.8,-0.1
Mozambique,MOZ,East Africa,2016,39.9,1,2300000,41.6,38.3,32.5,1.7,-1.6,-7.4
Mozambique,MOZ,East Africa,2020,28.3,1,2700000,25.8,22.8,21.8,-2.5,-5.5,-6.5
Mozambique,MOZ,East Africa,2021,25.8,1,1562771,22.8,21.8,21.8,-3,-4,-4
Mozambique,MOZ,East Africa,2023,21.8,1,3300000,21.8,,,0,,
Namibia,NAM,Southern Africa,2002,15.7,1,345000,16.5,17.7,18.4,0.8,2,2.7
Namibia,NAM,Southern Africa,2013,25.1,1,780000,23.3,22.5,21.7,-1.8,-2.6,-3.4
Namibia,NAM,Southern Africa,2015,22.5,1,580000,21.7,20.6,20,-0.8,-1.9,-2.5
Namibia,NAM,Southern Africa,2018,20,1,556000,19.2,18.9,18.5,-0.8,-1.1,-1.5
Niger,NER,West Africa,2005,19.1,1,3000000,18,17,16.1,-1.1,-2.1,-3
Niger,NER,West Africa,2009,15.2,1,7900000,14.3,14.6,14.8,-0.9,-0.6,-0.4
Niger,NER,West Africa,2011,14.6,1,3000000,14.8,15,14.5,0.2,0.4,-0.1
Niger,NER,West Africa,2015,13.7,1,2588128,12.7,12,11.1,-1,-1.7,-2.6
Niger,NER,West Africa,2017,12,1,1131300,11.1,10.9,10.1,-0.9,-1.1,-1.9
Niger,NER,West Africa,2020,10.1,1,3700000,10.9,11.4,12.7,0.8,1.3,2.6
Niger,NER,West Africa,2022,11.4,1,4400000,12.7,12.9,,1.3,1.5,
Nigeria,NGA,West Africa,2022,17.6,1,19110398,18.7,19.9,,1.1,2.3,
Rwanda,RWA,East Africa,2003,34.3,1,1000000,33.6,36,36.7,-0.7,1.7,2.4
Senegal,SEN,West Africa,2002,21.1,1,284000,20,18.6,17.1,-1.1,-2.5,-4
Senegal,SEN,West Africa,2011,10.9,1,850000,11.1,11.3,11.2,0.2,0.4,0.3
Senegal,SEN,West Africa,2014,11.2,1,639702,11.1,10,8.9,-0.1,-1.2,-2.3
Senegal,SEN,West Africa,2018,8,1,320000,7.1,6.2,5.3,-0.9,-1.8,-2.7
Somalia,SOM,East Africa,2004,69.8,1,200000,69.7,69.7,69.7,-0.1,-0.1,-0.1
Somalia,SOM,East Africa,2005,69.7,1,0,69.7,69.7,69.7,0,0,0
Somalia,SOM,East Africa,2008,69.7,1,3300000,69.8,71.8,72.5,0.1,2.1,2.8
Somalia,SOM,East Africa,2010,71.8,1,4000000,72.5,71.5,67.4,0.7,-0.3,-4.4
Somalia,SOM,East Africa,2012,71.5,1,3000000,67.4,63.3,61.4,-4.1,-8.2,-10.1
Somalia,SOM,East Africa,2014,63.3,1,535624,61.4,60.7,60.2,-1.9,-2.6,-3.1
Somalia,SOM,East Africa,2015,61.4,1,6700000,60.7,60.2,59,-0.7,-1.2,-2.4
Somalia,SOM,East Africa,2019,56.2,1,1500000,53.9,52.1,52.1,-2.3,-4.1,-4.1
